"","Date","Open","High","Low","Close","Volume","Adj.Close"
"1","2011-03-14",57.8,58.38,57.27,57.78,3186500,57.78
"2","2011-03-11",58.05,58.8,57.61,58.39,3435100,58.39
"3","2011-03-10",59,59.18,57.87,58.73,3300800,58.73
"4","2011-03-09",60.27,60.56,59.21,59.39,3118600,59.39
"5","2011-03-08",61.52,61.56,59.3,59.96,3712900,59.96
"6","2011-03-07",60.47,62,60.28,61.26,3057300,61.26
"7","2011-03-04",61.07,61.68,60.18,60.6,2574100,60.6
"8","2011-03-03",60.8,61.49,60.46,60.96,2621200,60.96
"9","2011-03-02",59.29,60.62,59.1,60.33,2822300,60.33
"10","2011-03-01",61,61.55,59.56,59.82,3050300,59.82
"11","2011-02-28",59.15,60.59,58.96,60.26,3086900,60.26
"12","2011-02-25",59.35,59.49,58.88,59.18,2478100,59.18
"13","2011-02-24",58.25,59.62,58.08,59,4070900,59
"14","2011-02-23",59.09,59.9,58.69,58.75,3444600,58.75
"15","2011-02-22",59,60.02,58.32,59.49,3908800,59.49
"16","2011-02-21",61.31,61.42,59.69,59.9,3227500,59.9
"17","2011-02-18",61.35,61.54,60.77,61.54,3463200,61.54
"18","2011-02-17",60.62,61.1,60.19,60.97,2789900,60.97
"19","2011-02-16",61.3,61.48,60.3,60.3,3293900,60.3
"20","2011-02-15",59.67,60.73,59.6,60.56,3698600,60.56
"21","2011-02-14",58.3,59.49,58.23,59.49,2736000,59.49
"22","2011-02-11",58.38,58.58,57.59,58.04,2594100,58.04
"23","2011-02-10",57.62,58.59,57.5,58.53,2489900,58.53
"24","2011-02-09",57.85,58.24,57.6,57.82,2057700,57.82
"25","2011-02-08",58.18,58.38,57.52,57.69,2867600,57.69
"26","2011-02-07",57.43,58.62,57.01,58.45,2965100,58.45
"27","2011-02-04",58.09,58.24,57.12,57.35,2634100,57.35
"28","2011-02-03",57.93,58.13,57.19,57.77,2719700,57.77
"29","2011-02-02",57.71,58.55,57.39,58.04,3706100,58.04
"30","2011-02-01",56.5,58.06,56.34,58,3919800,58
"31","2011-01-31",56.3,56.72,55.75,56.18,2474400,56.18
"32","2011-01-28",57.18,57.39,56.09,56.29,2900600,56.29
"33","2011-01-27",57.4,58.22,57.21,57.41,3643400,57.41
"34","2011-01-26",56.39,57.55,56.17,57.22,2985600,57.22
"35","2011-01-25",55.93,57.38,55.2,56.12,4382900,56.12
"36","2011-01-24",56.68,56.82,54.27,55.93,4157800,55.93
"37","2011-01-21",55.93,56.68,55.16,56.64,5684900,56.64
"38","2011-01-20",56.04,56.77,55.15,55.65,4111800,55.65
"39","2011-01-19",57.24,57.72,55.68,55.95,4221000,55.95
"40","2011-01-18",57.33,57.65,57.17,57.41,2421000,57.41
"41","2011-01-17",57.3,57.83,56.91,57.15,2139500,57.15
"42","2011-01-14",58.13,58.24,56.91,57.57,3551700,57.57
"43","2011-01-13",58.75,59.21,57.09,58.42,3815400,58.42
"44","2011-01-12",57.32,58.6,57.25,58.57,3334900,58.57
"45","2011-01-11",57.13,57.28,56.5,57.07,3318500,57.07
"46","2011-01-10",56.99,58.14,56.68,56.78,3420600,56.78
"47","2011-01-07",57.85,58.1,56.89,57.1,2999400,57.1
"48","2011-01-06",58.18,58.97,57.62,57.94,2545200,57.94
"49","2011-01-05",58.6,58.78,56.21,57.89,7682500,57.89
"50","2011-01-04",60.4,60.49,58.52,58.8,3651900,58.8
"51","2011-01-03",60.44,60.95,60.23,60.42,1831500,60.42
"52","2010-12-30",61.35,61.41,59.58,59.7,1579300,59.7
"53","2010-12-29",60.85,61.39,60.73,61.35,1347100,61.35
"54","2010-12-28",60.81,60.97,60.45,60.6,741800,60.6
"55","2010-12-27",61.5,61.5,60.14,60.66,1202500,60.66
"56","2010-12-23",61.4,61.72,61.02,61.42,1035200,61.42
"57","2010-12-22",61.6,61.8,61.26,61.61,1672200,61.61
"58","2010-12-21",61.14,61.83,61.14,61.71,1999500,61.71
"59","2010-12-20",60.76,61.87,60.73,61.05,2097200,61.05
"60","2010-12-17",61.68,61.88,60.83,60.83,6779700,60.83
"61","2010-12-16",61.72,61.75,61.03,61.73,1819600,61.73
"62","2010-12-15",60.88,61.58,60.14,61.51,3076700,61.51
"63","2010-12-14",60.58,60.97,60.56,60.95,1739500,60.95
"64","2010-12-13",60.98,61,60.53,60.69,2252800,60.69
"65","2010-12-10",60.75,61.03,60.32,60.5,1887600,60.5
"66","2010-12-09",61.22,61.74,59.95,60.39,4044300,60.39
"67","2010-12-08",60.9,61.48,60.55,60.98,3001800,60.98
"68","2010-12-07",60.1,61.85,60.1,61.15,3318700,61.15
"69","2010-12-06",59.51,60.25,59.5,60.02,2334900,60.02
"70","2010-12-03",59.65,60,59.05,59.19,2735400,59.19
"71","2010-12-02",59.26,59.95,58.35,59.95,3603900,59.95
"72","2010-12-01",57.61,59.26,57.61,59.26,3828900,59.26
"73","2010-11-30",56.4,57.63,56.34,57.5,4562100,57.5
"74","2010-11-29",58.4,59.13,56.29,56.29,4159100,56.29
"75","2010-11-26",58.8,58.82,57.64,58.36,2884800,58.36
"76","2010-11-25",58.5,59.29,58.23,59.18,1871300,59.18
"77","2010-11-24",56.95,58.69,56.81,58.67,3407000,58.67
"78","2010-11-23",57.4,57.93,56.68,56.68,3064900,56.68
"79","2010-11-22",57.85,58.2,57.52,57.82,2872300,57.82
"80","2010-11-19",57.2,57.54,56.6,57.4,3795100,57.4
"81","2010-11-18",55.8,57.26,55.74,57.26,2986400,57.26
"82","2010-11-17",54.55,55.52,54.43,55.49,2445800,55.49
"83","2010-11-16",56.7,56.86,54.98,54.98,3331700,54.98
"84","2010-11-15",55.77,57.39,55.67,57.18,2807900,57.18
"85","2010-11-12",55.58,56.37,55.02,56.12,3618200,56.12
"86","2010-11-11",56.4,56.98,56.17,56.63,2760400,56.63
"87","2010-11-10",57.3,57.34,55.86,56.09,4005800,56.09
"88","2010-11-09",56.5,57.67,56.35,57.41,2976500,57.41
"89","2010-11-08",57,57.05,56.57,56.75,2173900,56.75
"90","2010-11-05",56.08,57.7,56,57.17,4782100,57.17
"91","2010-11-04",54.5,56.72,54.42,56.15,5913100,56.15
"92","2010-11-03",54.32,54.45,53.91,54.09,2707200,54.09
"93","2010-11-02",52.45,54.27,52.39,54.23,3505600,54.23
"94","2010-11-01",52.5,53.02,52.2,52.57,2466000,52.57
"95","2010-10-29",52.29,52.7,52.08,52.28,3182200,52.28
"96","2010-10-28",52.35,52.66,51.25,52.37,3696500,52.37
"97","2010-10-27",52.66,52.87,52.01,52.22,2968600,52.22
"98","2010-10-26",52.97,53.26,52.37,52.69,3490700,52.69
"99","2010-10-25",53,53.39,52.86,53.11,1992800,53.11
"100","2010-10-22",52.5,53.35,52.3,52.77,3297500,52.77
"101","2010-10-21",51.93,52.8,51.85,52.8,4225500,52.8
"102","2010-10-20",51.65,51.93,50.64,51.93,4973200,51.93
"103","2010-10-19",51,51.34,50.23,50.64,3155100,50.64
"104","2010-10-18",50.69,51.19,50.57,51.03,2719100,51.03
"105","2010-10-15",50.3,50.97,50.12,50.97,7649700,50.97
"106","2010-10-14",49.71,50.25,49.64,50.14,3306300,50.14
"107","2010-10-13",48.95,50.19,48.74,49.71,5284300,49.71
"108","2010-10-12",48.39,48.58,47.64,48.48,2974200,48.48
"109","2010-10-11",48.6,48.8,48.38,48.6,2310000,48.6
"110","2010-10-08",47.61,48.81,47.6,48.73,3714100,48.73
"111","2010-10-07",48.26,48.33,47.58,47.77,4117200,47.77
"112","2010-10-06",47.5,48.51,47.33,48.51,6105700,48.51
"113","2010-10-05",46.5,47.33,46.05,47.24,3846300,47.24
"114","2010-10-04",46.87,47.03,45.88,46.46,3619100,46.46
"115","2010-10-01",46.7,47.49,46.55,46.87,5102000,46.87
"116","2010-09-30",46.23,47.28,45.92,46.26,3576900,46.26
"117","2010-09-29",47,47.3,46.19,46.46,2891300,46.46
"118","2010-09-28",46.63,47.05,45.8,46.87,3381100,46.87
"119","2010-09-27",47,47.1,46.49,46.6,2448100,46.6
"120","2010-09-24",45.6,46.99,45.47,46.92,4015900,46.92
"121","2010-09-23",46.16,46.53,45.17,45.62,4923600,45.62
"122","2010-09-22",45.7,46.22,44.66,45.58,6491800,45.58
"123","2010-09-21",45.42,45.99,45.28,45.28,2580500,45.28
"124","2010-09-20",45.04,45.54,44.87,45.46,2603000,45.46
"125","2010-09-17",45.64,45.88,44.66,44.77,7995000,44.77
"126","2010-09-16",44.81,45.22,44.71,45.2,2840700,45.2
"127","2010-09-15",45.02,45.27,44.62,45.02,2852800,45.02
"128","2010-09-14",44.87,45.36,44.72,45.17,3208500,45.17
"129","2010-09-13",44.1,44.88,43.97,44.69,3187600,44.69
"130","2010-09-10",43.49,43.78,43.37,43.69,1966000,43.69
"131","2010-09-09",42.85,43.79,42.72,43.51,2637300,43.51
"132","2010-09-08",42.89,43.15,42.09,43.09,3146200,43.09
"133","2010-09-07",43.16,43.34,42.54,43,2329600,43
"134","2010-09-06",43.37,43.46,43.25,43.38,1482100,43.38
"135","2010-09-03",43.05,43.79,42.99,43.34,2751600,43.34
"136","2010-09-02",42.94,43.24,42.8,43.03,2708500,43.03
"137","2010-09-01",41.71,43.13,41.26,43,4344800,43
"138","2010-08-31",41.02,41.63,40.92,41.63,3528400,41.63
"139","2010-08-30",42.22,42.22,41.42,41.62,1524500,41.62
"140","2010-08-27",41.74,42.16,41.15,42.03,2529900,42.03
"141","2010-08-26",41.8,42.37,41.65,41.94,3330400,41.94
"142","2010-08-25",41.88,42.12,40.74,41.35,4455100,41.35
"143","2010-08-24",42.37,42.47,41.5,41.9,3544400,41.9
"144","2010-08-23",42.56,43.08,42.37,42.74,2741000,42.74
"145","2010-08-20",43.5,43.74,42.44,42.55,4704700,42.55
"146","2010-08-19",44.88,44.9,43.35,43.47,3965500,43.47
"147","2010-08-18",44.5,44.88,44.12,44.47,2497200,44.47
"148","2010-08-17",43.69,44.75,43.63,44.7,3254900,44.7
"149","2010-08-16",43.85,44.13,43.11,43.66,2562600,43.66
"150","2010-08-13",44.94,45,43.59,43.8,3884000,43.8
"151","2010-08-12",44.15,44.98,44.13,44.56,2964200,44.56
"152","2010-08-11",44.92,44.95,43.98,44.31,3695400,44.31
"153","2010-08-10",45.48,45.75,45,45.35,2579600,45.35
"154","2010-08-09",45.5,45.85,45.43,45.76,3229100,45.76
"155","2010-08-06",45.67,46.29,44.51,44.74,5272300,44.74
"156","2010-08-05",46.54,46.54,45.35,45.56,4506200,45.56
"157","2010-08-04",45.75,46.73,45.49,46.45,2474600,46.45
